ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00279091,2025,3,TMIN,-56.0,-156.0,-183.0,,,,,,,,-44.0,-39.0,,,,,,,-50.0,,,,,,,,,,,,
USC00279278,2025,2,TMIN,-22.0,-194.0,-194.0,-78.0,-139.0,-167.0,-161.0,-111.0,-100.0,-61.0,-128.0,-106.0,-94.0,-50.0,-117.0,-111.0,-67.0,-94.0,-133.0,-128.0,-128.0,-106.0,-94.0,-22.0,-22.0,17.0,-6.0,0.0,,,
USC00279278,2025,3,TMIN,-6.0,-111.0,-150.0,-144.0,,11.0,-39.0,,-44.0,-28.0,-17.0,0.0,-11.0,-39.0,-28.0,-11.0,83.0,17.0,-22.0,-17.0,39.0,0.0,-44.0,-33.0,-17.0,,,,,,
USC00279970,2025,2,TMIN,-89.0,-200.0,,-78.0,-178.0,-178.0,,-94.0,-100.0,-94.0,-111.0,,-150.0,-133.0,-150.0,-150.0,-144.0,-167.0,-167.0,-178.0,-167.0,,-139.0,-67.0,-61.0,-22.0,-89.0,,,,
USC00279970,2025,3,TMIN,,-167.0,-200.0,-200.0,-78.0,,-122.0,,-122.0,-111.0,-67.0,-89.0,,,-39.0,28.0,33.0,-72.0,-72.0,-17.0,-67.0,-94.0,-206.0,,,,,,,,
USW00014710,2025,2,TMIN,-121.0,-177.0,-66.0,-71.0,-138.0,-149.0,-55.0,-105.0,-77.0,-138.0,-171.0,-116.0,-27.0,-93.0,-127.0,-49.0,-71.0,-88.0,-121.0,-132.0,-66.0,-93.0,-38.0,-21.0,28.0,-10.0,-16.0,0.0,,,
USW00014710,2025,3,TMIN,-55.0,-105.0,-121.0,-66.0,6.0,22.0,-32.0,-10.0,-27.0,-27.0,-27.0,11.0,-21.0,-38.0,-10.0,89.0,39.0,0.0,-16.0,39.0,39.0,-17.0,-33.0,-28.0,,,,,,,
USW00014745,2025,2,TMIN,-149.0,-232.0,-88.0,-93.0,-177.0,-199.0,-88.0,-149.0,-105.0,-160.0,-205.0,-177.0,-38.0,-93.0,-160.0,-60.0,-77.0,-110.0,-138.0,-182.0,-77.0,-105.0,-77.0,-32.0,0.0,-32.0,-38.0,-38.0,,,
USW00014745,2025,3,TMIN,-71.0,-121.0,-155.0,-93.0,0.0,11.0,-43.0,-21.0,-38.0,-27.0,-38.0,-16.0,-32.0,-60.0,-27.0,83.0,22.0,-16.0,-43.0,28.0,-6.0,-44.0,-56.0,-50.0,,,,,,,
USW00014755,2025,2,TMIN,-178.0,-250.0,-183.0,-172.0,-261.0,-250.0,-161.0,-200.0,-200.0,-189.0,-233.0,-206.0,-178.0,-228.0,,-222.0,-250.0,-278.0,-278.0,-133.0,-189.0,,,,-100.0,-83.0,-128.0,-106.0,,,
USW00014755,2025,3,TMIN,-167.0,-289.0,-289.0,-211.0,-139.0,,-217.0,-217.0,-206.0,-161.0,-89.0,-150.0,-156.0,-117.0,-44.0,6.0,11.0,-61.0,-44.0,11.0,-50.0,-128.0,-222.0,-222.0,-122.0,,,,,,
USW00054728,2025,2,TMIN,-277.0,-316.0,-93.0,-121.0,-266.0,-271.0,-71.0,-105.0,-116.0,-177.0,-232.0,-216.0,-55.0,-182.0,-232.0,-82.0,-132.0,-155.0,-238.0,-282.0,-110.0,-121.0,-88.0,-60.0,-55.0,-82.0,-105.0,-66.0,,,
