DATE,ID,TMIN
2025-02-02,USC00279278,-194.0
2025-02-03,USC00279278,-194.0
2025-02-04,USC00279278,-78.0
2025-02-05,USC00279278,-139.0
2025-02-06,USC00279278,-167.0
2025-02-07,USC00279278,-161.0
2025-02-08,USC00279278,-111.0
2025-02-09,USC00279278,-100.0
2025-02-10,USC00279278,-61.0
2025-02-11,USC00279278,-128.0
2025-02-12,USC00279278,-106.0
2025-02-13,USC00279278,-94.0
2025-02-14,USC00279278,-50.0
2025-02-15,USC00279278,-117.0
2025-02-16,USC00279278,-111.0
2025-02-17,USC00279278,-67.0
2025-02-18,USC00279278,-94.0
2025-02-19,USC00279278,-133.0
2025-02-20,USC00279278,-128.0
2025-02-21,USC00279278,-128.0
2025-02-22,USC00279278,-106.0
2025-02-23,USC00279278,-94.0
2025-02-24,USC00279278,-22.0
2025-02-25,USC00279278,-22.0
2025-02-26,USC00279278,17.0
2025-02-27,USC00279278,-6.0
2025-02-28,USC00279278,0.0
2025-03-01,USC00279278,-6.0
2025-03-02,USC00279278,-111.0
2025-03-03,USC00279278,-150.0
2025-03-04,USC00279278,-144.0
2025-03-06,USC00279278,11.0
2025-03-07,USC00279278,-39.0
2025-03-09,USC00279278,-44.0
2025-03-10,USC00279278,-28.0
2025-03-11,USC00279278,-17.0
2025-03-12,USC00279278,0.0
2025-03-13,USC00279278,-11.0
2025-03-14,USC00279278,-39.0
2025-03-15,USC00279278,-28.0
2025-03-16,USC00279278,-11.0
2025-03-17,USC00279278,83.0
2025-03-18,USC00279278,17.0
2025-03-19,USC00279278,-22.0
2025-03-20,USC00279278,-17.0
2025-03-21,USC00279278,39.0
2025-03-22,USC00279278,0.0
2025-03-23,USC00279278,-44.0
2025-03-24,USC00279278,-33.0
2025-03-25,USC00279278,-17.0
2025-02-01,USC00279970,-89.0
2025-02-02,USC00279970,-200.0
2025-02-04,USC00279970,-78.0
2025-02-05,USC00279970,-178.0
2025-02-06,USC00279970,-178.0
2025-02-08,USC00279970,-94.0
2025-02-09,USC00279970,-100.0
2025-02-10,USC00279970,-94.0
2025-02-11,USC00279970,-111.0
2025-02-13,USC00279970,-150.0
2025-02-14,USC00279970,-133.0
2025-02-15,USC00279970,-150.0
2025-02-16,USC00279970,-150.0
2025-02-17,USC00279970,-144.0
2025-02-18,USC00279970,-167.0
2025-02-19,USC00279970,-167.0
2025-02-20,USC00279970,-178.0
2025-02-21,USC00279970,-167.0
2025-02-23,USC00279970,-139.0
2025-02-24,USC00279970,-67.0
2025-02-25,USC00279970,-61.0
2025-02-26,USC00279970,-22.0
2025-02-27,USC00279970,-89.0
2025-03-02,USC00279970,-167.0
2025-03-03,USC00279970,-200.0
2025-03-04,USC00279970,-200.0
2025-03-05,USC00279970,-78.0
2025-03-07,USC00279970,-122.0
2025-03-09,USC00279970,-122.0
2025-03-10,USC00279970,-111.0
2025-03-11,USC00279970,-67.0
2025-03-12,USC00279970,-89.0
2025-03-15,USC00279970,-39.0
2025-03-16,USC00279970,28.0
2025-03-17,USC00279970,33.0
2025-03-18,USC00279970,-72.0
2025-03-19,USC00279970,-72.0
2025-03-20,USC00279970,-17.0
2025-03-21,USC00279970,-67.0
2025-03-22,USC00279970,-94.0
2025-03-23,USC00279970,-206.0
2025-02-01,USW00014710,-121.0
2025-02-02,USW00014710,-177.0
2025-02-03,USW00014710,-66.0
2025-02-04,USW00014710,-71.0
2025-02-05,USW00014710,-138.0
2025-02-06,USW00014710,-149.0
2025-02-07,USW00014710,-55.0
2025-02-08,USW00014710,-105.0
2025-02-09,USW00014710,-77.0
2025-02-10,USW00014710,-138.0
2025-02-11,USW00014710,-171.0
2025-02-12,USW00014710,-116.0
2025-02-13,USW00014710,-27.0
2025-02-14,USW00014710,-93.0
2025-02-15,USW00014710,-127.0
2025-02-16,USW00014710,-49.0
2025-02-17,USW00014710,-71.0
2025-02-18,USW00014710,-88.0
2025-02-19,USW00014710,-121.0
2025-02-20,USW00014710,-132.0
2025-02-21,USW00014710,-66.0
2025-02-22,USW00014710,-93.0
2025-02-23,USW00014710,-38.0
2025-02-24,USW00014710,-21.0
2025-02-25,USW00014710,28.0
2025-02-26,USW00014710,-10.0
2025-02-27,USW00014710,-16.0
2025-02-28,USW00014710,0.0
2025-03-01,USW00014710,-55.0
2025-03-02,USW00014710,-105.0
2025-03-03,USW00014710,-121.0
2025-03-04,USW00014710,-66.0
2025-03-05,USW00014710,6.0
2025-03-06,USW00014710,22.0
2025-03-07,USW00014710,-32.0
2025-03-08,USW00014710,-10.0
2025-03-09,USW00014710,-27.0
2025-03-10,USW00014710,-27.0
2025-03-11,USW00014710,-27.0
2025-03-12,USW00014710,11.0
2025-03-13,USW00014710,-21.0
2025-03-14,USW00014710,-38.0
2025-03-15,USW00014710,-10.0
2025-03-16,USW00014710,89.0
2025-03-17,USW00014710,39.0
2025-03-18,USW00014710,0.0
2025-03-19,USW00014710,-16.0
2025-03-20,USW00014710,39.0
2025-03-21,USW00014710,39.0
2025-03-22,USW00014710,-17.0
2025-03-23,USW00014710,-33.0
2025-03-24,USW00014710,-28.0
2025-02-01,USW00014745,-149.0
2025-02-02,USW00014745,-232.0
2025-02-03,USW00014745,-88.0
2025-02-04,USW00014745,-93.0
2025-02-05,USW00014745,-177.0
2025-02-06,USW00014745,-199.0
2025-02-07,USW00014745,-88.0
2025-02-08,USW00014745,-149.0
2025-02-09,USW00014745,-105.0
2025-02-10,USW00014745,-160.0
2025-02-11,USW00014745,-205.0
2025-02-12,USW00014745,-177.0
2025-02-13,USW00014745,-38.0
2025-02-14,USW00014745,-93.0
2025-02-15,USW00014745,-160.0
2025-02-16,USW00014745,-60.0
2025-02-17,USW00014745,-77.0
2025-02-18,USW00014745,-110.0
2025-02-19,USW00014745,-138.0
2025-02-20,USW00014745,-182.0
2025-02-21,USW00014745,-77.0
2025-02-22,USW00014745,-105.0
2025-02-23,USW00014745,-77.0
2025-02-24,USW00014745,-32.0
2025-02-25,USW00014745,0.0
2025-02-26,USW00014745,-32.0
2025-02-27,USW00014745,-38.0
2025-02-28,USW00014745,-38.0
2025-03-01,USW00014745,-71.0
2025-03-02,USW00014745,-121.0
2025-03-03,USW00014745,-155.0
2025-03-04,USW00014745,-93.0
2025-03-05,USW00014745,0.0
2025-03-06,USW00014745,11.0
2025-03-07,USW00014745,-43.0
2025-03-08,USW00014745,-21.0
2025-03-09,USW00014745,-38.0
2025-03-10,USW00014745,-27.0
2025-03-11,USW00014745,-38.0
2025-03-12,USW00014745,-16.0
2025-03-13,USW00014745,-32.0
2025-03-14,USW00014745,-60.0
2025-03-15,USW00014745,-27.0
2025-03-16,USW00014745,83.0
2025-03-17,USW00014745,22.0
2025-03-18,USW00014745,-16.0
2025-03-19,USW00014745,-43.0
2025-03-20,USW00014745,28.0
2025-03-21,USW00014745,-6.0
2025-03-22,USW00014745,-44.0
2025-03-23,USW00014745,-56.0
2025-03-24,USW00014745,-50.0
2025-02-01,USW00014755,-178.0
2025-02-02,USW00014755,-250.0
2025-02-03,USW00014755,-183.0
2025-02-04,USW00014755,-172.0
2025-02-05,USW00014755,-261.0
2025-02-06,USW00014755,-250.0
2025-02-07,USW00014755,-161.0
2025-02-08,USW00014755,-200.0
2025-02-09,USW00014755,-200.0
2025-02-10,USW00014755,-189.0
2025-02-11,USW00014755,-233.0
2025-02-12,USW00014755,-206.0
2025-02-13,USW00014755,-178.0
2025-02-14,USW00014755,-228.0
2025-02-16,USW00014755,-222.0
2025-02-17,USW00014755,-250.0
2025-02-18,USW00014755,-278.0
2025-02-19,USW00014755,-278.0
2025-02-20,USW00014755,-133.0
2025-02-21,USW00014755,-189.0
2025-02-25,USW00014755,-100.0
2025-02-26,USW00014755,-83.0
2025-02-27,USW00014755,-128.0
2025-02-28,USW00014755,-106.0
2025-03-01,USW00014755,-167.0
2025-03-02,USW00014755,-289.0
2025-03-03,USW00014755,-289.0
2025-03-04,USW00014755,-211.0
2025-03-05,USW00014755,-139.0
2025-03-07,USW00014755,-217.0
2025-03-08,USW00014755,-217.0
2025-03-09,USW00014755,-206.0
2025-03-10,USW00014755,-161.0
2025-03-11,USW00014755,-89.0
2025-03-12,USW00014755,-150.0
2025-03-13,USW00014755,-156.0
2025-03-14,USW00014755,-117.0
2025-03-15,USW00014755,-44.0
2025-03-16,USW00014755,6.0
2025-03-17,USW00014755,11.0
2025-03-18,USW00014755,-61.0
2025-03-19,USW00014755,-44.0
2025-03-20,USW00014755,11.0
2025-03-21,USW00014755,-50.0
2025-03-22,USW00014755,-128.0
2025-03-23,USW00014755,-222.0
2025-03-24,USW00014755,-222.0
2025-03-25,USW00014755,-122.0
2025-02-01,USW00054728,-277.0
2025-02-02,USW00054728,-316.0
2025-02-03,USW00054728,-93.0
2025-02-04,USW00054728,-121.0
2025-02-05,USW00054728,-266.0
2025-02-06,USW00054728,-271.0
2025-02-07,USW00054728,-71.0
2025-02-08,USW00054728,-105.0
2025-02-09,USW00054728,-116.0
2025-02-10,USW00054728,-177.0
2025-02-11,USW00054728,-232.0
2025-02-12,USW00054728,-216.0
2025-02-13,USW00054728,-55.0
2025-02-14,USW00054728,-182.0
2025-02-15,USW00054728,-232.0
2025-02-16,USW00054728,-82.0
2025-02-17,USW00054728,-132.0
2025-02-18,USW00054728,-155.0
2025-02-19,USW00054728,-238.0
2025-02-20,USW00054728,-282.0
2025-02-21,USW00054728,-110.0
2025-02-22,USW00054728,-121.0
2025-02-23,USW00054728,-88.0
2025-02-24,USW00054728,-60.0
2025-02-25,USW00054728,-55.0
2025-02-26,USW00054728,-82.0
2025-02-27,USW00054728,-105.0
2025-02-28,USW00054728,-66.0
2025-03-01,USW00054728,-132.0
2025-03-02,USW00054728,-238.0
2025-03-03,USW00054728,-288.0
2025-03-04,USW00054728,-155.0
2025-03-05,USW00054728,-43.0
